event_id,event_type,order_id,status,branch,route,driver_id,sla_minutes,actual_minutes,delay_reason,is_sla_breached,event_timestamp
evt-10014,ORDER_STATUS_UPDATED,ORD-2026-0014,IN_TRANSIT,Semarang Hub,BDG-JKT,DRV-015,2160,2238,Warehouse queue,True,2026-06-03T02:00:00Z
evt-10015,ORDER_STATUS_UPDATED,ORD-2026-0015,DELAYED,Jakarta Hub,BKS-JKT,DRV-016,2880,2995,,True,2026-06-03T05:00:00Z
evt-10016,ORDER_STATUS_UPDATED,ORD-2026-0016,DELIVERED,Bandung Hub,SMG-SBY,DRV-017,720,872,Traffic congestion,True,2026-06-03T08:00:00Z
evt-10017,ORDER_STATUS_UPDATED,ORD-2026-0017,CANCELLED,Surabaya Hub,SBY-DPS,DRV-018,1440,1629,Weather issue,True,2026-06-03T11:00:00Z
evt-10018,ORDER_STATUS_UPDATED,ORD-2026-0018,CREATED,Bekasi DC,JKT-BDG,DRV-019,2160,2386,Vehicle maintenance,True,2026-06-03T14:00:00Z
evt-10019,ORDER_STATUS_UPDATED,ORD-2026-0019,PICKED_UP,Semarang Hub,JKT-SBY,DRV-020,2880,3143,Warehouse queue,True,2026-06-03T17:00:00Z
evt-10020,ORDER_STATUS_UPDATED,ORD-2026-0020,IN_TRANSIT,Jakarta Hub,BDG-JKT,DRV-001,720,660,,False,2026-06-03T20:00:00Z
evt-10021,ORDER_STATUS_UPDATED,ORD-2026-0021,DELAYED,Bandung Hub,BKS-JKT,DRV-002,1440,1417,Traffic congestion,False,2026-06-03T23:00:00Z
evt-10022,ORDER_STATUS_UPDATED,ORD-2026-0022,DELIVERED,Surabaya Hub,SMG-SBY,DRV-003,2160,2174,Weather issue,True,2026-06-04T02:00:00Z
evt-10023,ORDER_STATUS_UPDATED,ORD-2026-0023,CANCELLED,Bekasi DC,SBY-DPS,DRV-004,2880,2931,Vehicle maintenance,True,2026-06-04T05:00:00Z
evt-10024,ORDER_STATUS_UPDATED,ORD-2026-0024,CREATED,Semarang Hub,JKT-BDG,DRV-005,720,808,Warehouse queue,True,2026-06-04T08:00:00Z
evt-10025,ORDER_STATUS_UPDATED,ORD-2026-0025,PICKED_UP,Jakarta Hub,JKT-SBY,DRV-006,1440,1565,,True,2026-06-04T11:00:00Z
evt-10026,ORDER_STATUS_UPDATED,ORD-2026-0026,IN_TRANSIT,Bandung Hub,BDG-JKT,DRV-007,2160,2322,Traffic congestion,True,2026-06-04T14:00:00Z
evt-10027,ORDER_STATUS_UPDATED,ORD-2026-0027,DELAYED,Surabaya Hub,BKS-JKT,DRV-008,2880,3079,Weather issue,True,2026-06-04T17:00:00Z
evt-10028,ORDER_STATUS_UPDATED,ORD-2026-0028,DELIVERED,Bekasi DC,SMG-SBY,DRV-009,720,956,Vehicle maintenance,True,2026-06-04T20:00:00Z
evt-10029,ORDER_STATUS_UPDATED,ORD-2026-0029,CANCELLED,Semarang Hub,SBY-DPS,DRV-010,1440,1713,Warehouse queue,True,2026-06-04T23:00:00Z
evt-10030,ORDER_STATUS_UPDATED,ORD-2026-0030,CREATED,Jakarta Hub,JKT-BDG,DRV-011,2160,2110,,False,2026-06-05T02:00:00Z
evt-10031,ORDER_STATUS_UPDATED,ORD-2026-0031,PICKED_UP,Bandung Hub,JKT-SBY,DRV-012,2880,2867,,False,2026-06-05T05:00:00Z
evt-10032,ORDER_STATUS_UPDATED,ORD-2026-0032,IN_TRANSIT,Surabaya Hub,BDG-JKT,DRV-013,720,744,Weather issue,True,2026-06-05T08:00:00Z
evt-10033,ORDER_STATUS_UPDATED,ORD-2026-0033,DELAYED,Bekasi DC,BKS-JKT,DRV-014,1440,1501,Vehicle maintenance,True,2026-06-05T11:00:00Z
evt-10034,ORDER_STATUS_UPDATED,ORD-2026-0034,DELIVERED,Semarang Hub,SMG-SBY,DRV-015,2160,2258,Warehouse queue,True,2026-06-05T14:00:00Z
evt-10035,ORDER_STATUS_UPDATED,ORD-2026-0035,CANCELLED,Jakarta Hub,SBY-DPS,DRV-016,2880,3015,,True,2026-06-05T17:00:00Z
evt-10036,ORDER_STATUS_UPDATED,ORD-2026-0036,CREATED,Bandung Hub,JKT-BDG,DRV-017,720,892,Traffic congestion,True,2026-06-05T20:00:00Z
evt-10037,ORDER_STATUS_UPDATED,ORD-2026-0037,PICKED_UP,Surabaya Hub,JKT-SBY,DRV-018,1440,1649,Weather issue,True,2026-06-05T23:00:00Z
evt-10038,ORDER_STATUS_UPDATED,ORD-2026-0038,IN_TRANSIT,Bekasi DC,BDG-JKT,DRV-019,2160,2406,Vehicle maintenance,True,2026-06-06T02:00:00Z
evt-10039,ORDER_STATUS_UPDATED,ORD-2026-0039,DELAYED,Semarang Hub,BKS-JKT,DRV-020,2880,2803,Warehouse queue,False,2026-06-06T05:00:00Z
evt-10040,ORDER_STATUS_UPDATED,ORD-2026-0040,DELIVERED,Jakarta Hub,SMG-SBY,DRV-001,720,680,,False,2026-06-06T08:00:00Z
evt-10041,ORDER_STATUS_UPDATED,ORD-2026-0041,CANCELLED,Bandung Hub,SBY-DPS,DRV-002,1440,1437,,False,2026-06-06T11:00:00Z
evt-10042,ORDER_STATUS_UPDATED,ORD-2026-0042,CREATED,Surabaya Hub,JKT-BDG,DRV-003,2160,2194,Weather issue,True,2026-06-06T14:00:00Z
evt-10043,ORDER_STATUS_UPDATED,ORD-2026-0043,PICKED_UP,Bekasi DC,JKT-SBY,DRV-004,2880,2951,Vehicle maintenance,True,2026-06-06T17:00:00Z
evt-10044,ORDER_STATUS_UPDATED,ORD-2026-0044,IN_TRANSIT,Semarang Hub,BDG-JKT,DRV-005,720,828,Warehouse queue,True,2026-06-06T20:00:00Z
evt-10045,ORDER_STATUS_UPDATED,ORD-2026-0045,DELAYED,Jakarta Hub,BKS-JKT,DRV-006,1440,1585,,True,2026-06-06T23:00:00Z
evt-10046,ORDER_STATUS_UPDATED,ORD-2026-0046,DELIVERED,Bandung Hub,SMG-SBY,DRV-007,2160,2342,Traffic congestion,True,2026-06-07T02:00:00Z
evt-10047,ORDER_STATUS_UPDATED,ORD-2026-0047,CANCELLED,Surabaya Hub,SBY-DPS,DRV-008,2880,3099,Weather issue,True,2026-06-07T05:00:00Z
evt-10048,ORDER_STATUS_UPDATED,ORD-2026-0048,CREATED,Bekasi DC,JKT-BDG,DRV-009,720,976,Vehicle maintenance,True,2026-06-07T08:00:00Z
evt-10049,ORDER_STATUS_UPDATED,ORD-2026-0049,PICKED_UP,Semarang Hub,JKT-SBY,DRV-010,1440,1373,,False,2026-06-07T11:00:00Z
evt-10050,ORDER_STATUS_UPDATED,ORD-2026-0050,IN_TRANSIT,Jakarta Hub,BDG-JKT,DRV-011,2160,2130,,False,2026-06-07T14:00:00Z
evt-10051,ORDER_STATUS_UPDATED,ORD-2026-0051,DELAYED,Bandung Hub,BKS-JKT,DRV-012,2880,2887,Traffic congestion,True,2026-06-07T17:00:00Z
evt-10052,ORDER_STATUS_UPDATED,ORD-2026-0052,DELIVERED,Surabaya Hub,SMG-SBY,DRV-013,720,764,Weather issue,True,2026-06-07T20:00:00Z
evt-10053,ORDER_STATUS_UPDATED,ORD-2026-0053,CANCELLED,Bekasi DC,SBY-DPS,DRV-014,1440,1521,Vehicle maintenance,True,2026-06-07T23:00:00Z
evt-10054,ORDER_STATUS_UPDATED,ORD-2026-0054,CREATED,Semarang Hub,JKT-BDG,DRV-015,2160,2278,Warehouse queue,True,2026-06-08T02:00:00Z
evt-10055,ORDER_STATUS_UPDATED,ORD-2026-0055,PICKED_UP,Jakarta Hub,JKT-SBY,DRV-016,2880,3035,,True,2026-06-08T05:00:00Z
evt-10056,ORDER_STATUS_UPDATED,ORD-2026-0056,IN_TRANSIT,Bandung Hub,BDG-JKT,DRV-017,720,912,Traffic congestion,True,2026-06-08T08:00:00Z
evt-10057,ORDER_STATUS_UPDATED,ORD-2026-0057,DELAYED,Surabaya Hub,BKS-JKT,DRV-018,1440,1669,Weather issue,True,2026-06-08T11:00:00Z
evt-10058,ORDER_STATUS_UPDATED,ORD-2026-0058,DELIVERED,Bekasi DC,SMG-SBY,DRV-019,2160,2426,Vehicle maintenance,True,2026-06-08T14:00:00Z
evt-10059,ORDER_STATUS_UPDATED,ORD-2026-0059,CANCELLED,Semarang Hub,SBY-DPS,DRV-020,2880,2823,,False,2026-06-08T17:00:00Z
evt-10060,ORDER_STATUS_UPDATED,ORD-2026-0060,CREATED,Jakarta Hub,JKT-BDG,DRV-001,720,700,,False,2026-06-08T20:00:00Z
evt-10061,ORDER_STATUS_UPDATED,ORD-2026-0061,PICKED_UP,Bandung Hub,JKT-SBY,DRV-002,1440,1457,Traffic congestion,True,2026-06-08T23:00:00Z
evt-10062,ORDER_STATUS_UPDATED,ORD-2026-0062,IN_TRANSIT,Surabaya Hub,BDG-JKT,DRV-003,2160,2214,Weather issue,True,2026-06-09T02:00:00Z
evt-10063,ORDER_STATUS_UPDATED,ORD-2026-0063,DELAYED,Bekasi DC,BKS-JKT,DRV-004,2880,2971,Vehicle maintenance,True,2026-06-09T05:00:00Z
evt-10064,ORDER_STATUS_UPDATED,ORD-2026-0064,DELIVERED,Semarang Hub,SMG-SBY,DRV-005,720,848,Warehouse queue,True,2026-06-09T08:00:00Z
evt-10065,ORDER_STATUS_UPDATED,ORD-2026-0065,CANCELLED,Jakarta Hub,SBY-DPS,DRV-006,1440,1605,,True,2026-06-09T11:00:00Z
evt-10066,ORDER_STATUS_UPDATED,ORD-2026-0066,CREATED,Bandung Hub,JKT-BDG,DRV-007,2160,2362,Traffic congestion,True,2026-06-09T14:00:00Z
evt-10067,ORDER_STATUS_UPDATED,ORD-2026-0067,PICKED_UP,Surabaya Hub,JKT-SBY,DRV-008,2880,3119,Weather issue,True,2026-06-09T17:00:00Z
evt-10068,ORDER_STATUS_UPDATED,ORD-2026-0068,IN_TRANSIT,Bekasi DC,BDG-JKT,DRV-009,720,996,Vehicle maintenance,True,2026-06-09T20:00:00Z
evt-10069,ORDER_STATUS_UPDATED,ORD-2026-0069,DELAYED,Semarang Hub,BKS-JKT,DRV-010,1440,1393,Warehouse queue,False,2026-06-09T23:00:00Z
evt-10070,ORDER_STATUS_UPDATED,ORD-2026-0070,DELIVERED,Jakarta Hub,SMG-SBY,DRV-011,2160,2150,,False,2026-06-10T02:00:00Z
evt-10071,ORDER_STATUS_UPDATED,ORD-2026-0071,CANCELLED,Bandung Hub,SBY-DPS,DRV-012,2880,2907,Traffic congestion,True,2026-06-10T05:00:00Z
evt-10072,ORDER_STATUS_UPDATED,ORD-2026-0072,CREATED,Surabaya Hub,JKT-BDG,DRV-013,720,784,Weather issue,True,2026-06-10T08:00:00Z
evt-10073,ORDER_STATUS_UPDATED,ORD-2026-0073,PICKED_UP,Bekasi DC,JKT-SBY,DRV-014,1440,1541,Vehicle maintenance,True,2026-06-10T11:00:00Z
evt-10074,ORDER_STATUS_UPDATED,ORD-2026-0074,IN_TRANSIT,Semarang Hub,BDG-JKT,DRV-015,2160,2298,Warehouse queue,True,2026-06-10T14:00:00Z
evt-10075,ORDER_STATUS_UPDATED,ORD-2026-0075,DELAYED,Jakarta Hub,BKS-JKT,DRV-016,2880,3055,,True,2026-06-10T17:00:00Z
evt-10076,ORDER_STATUS_UPDATED,ORD-2026-0076,DELIVERED,Bandung Hub,SMG-SBY,DRV-017,720,932,Traffic congestion,True,2026-06-10T20:00:00Z
evt-10077,ORDER_STATUS_UPDATED,ORD-2026-0077,CANCELLED,Surabaya Hub,SBY-DPS,DRV-018,1440,1689,Weather issue,True,2026-06-10T23:00:00Z
evt-10078,ORDER_STATUS_UPDATED,ORD-2026-0078,CREATED,Bekasi DC,JKT-BDG,DRV-019,2160,2086,,False,2026-06-11T02:00:00Z
evt-10079,ORDER_STATUS_UPDATED,ORD-2026-0079,PICKED_UP,Semarang Hub,JKT-SBY,DRV-020,2880,2843,,False,2026-06-11T05:00:00Z
evt-10080,ORDER_STATUS_UPDATED,ORD-2026-0080,IN_TRANSIT,Jakarta Hub,BDG-JKT,DRV-001,720,720,,False,2026-06-11T08:00:00Z
evt-10081,ORDER_STATUS_UPDATED,ORD-2026-0081,DELAYED,Bandung Hub,BKS-JKT,DRV-002,1440,1477,Traffic congestion,True,2026-06-11T11:00:00Z
evt-10082,ORDER_STATUS_UPDATED,ORD-2026-0082,DELIVERED,Surabaya Hub,SMG-SBY,DRV-003,2160,2234,Weather issue,True,2026-06-11T14:00:00Z
evt-10083,ORDER_STATUS_UPDATED,ORD-2026-0083,CANCELLED,Bekasi DC,SBY-DPS,DRV-004,2880,2991,Vehicle maintenance,True,2026-06-11T17:00:00Z
evt-10084,ORDER_STATUS_UPDATED,ORD-2026-0084,CREATED,Semarang Hub,JKT-BDG,DRV-005,720,868,Warehouse queue,True,2026-06-11T20:00:00Z
evt-10085,ORDER_STATUS_UPDATED,ORD-2026-0085,PICKED_UP,Jakarta Hub,JKT-SBY,DRV-006,1440,1625,,True,2026-06-11T23:00:00Z
evt-10086,ORDER_STATUS_UPDATED,ORD-2026-0086,IN_TRANSIT,Bandung Hub,BDG-JKT,DRV-007,2160,2382,Traffic congestion,True,2026-06-12T02:00:00Z
evt-10087,ORDER_STATUS_UPDATED,ORD-2026-0087,DELAYED,Surabaya Hub,BKS-JKT,DRV-008,2880,3139,Weather issue,True,2026-06-12T05:00:00Z
evt-10088,ORDER_STATUS_UPDATED,ORD-2026-0088,DELIVERED,Bekasi DC,SMG-SBY,DRV-009,720,656,,False,2026-06-12T08:00:00Z
evt-10089,ORDER_STATUS_UPDATED,ORD-2026-0089,CANCELLED,Semarang Hub,SBY-DPS,DRV-010,1440,1413,,False,2026-06-12T11:00:00Z
evt-10090,ORDER_STATUS_UPDATED,ORD-2026-0090,CREATED,Jakarta Hub,JKT-BDG,DRV-011,2160,2170,,True,2026-06-12T14:00:00Z
evt-10091,ORDER_STATUS_UPDATED,ORD-2026-0091,PICKED_UP,Bandung Hub,JKT-SBY,DRV-012,2880,2927,Traffic congestion,True,2026-06-12T17:00:00Z
evt-10092,ORDER_STATUS_UPDATED,ORD-2026-0092,IN_TRANSIT,Surabaya Hub,BDG-JKT,DRV-013,720,804,Weather issue,True,2026-06-12T20:00:00Z
evt-10093,ORDER_STATUS_UPDATED,ORD-2026-0093,DELAYED,Bekasi DC,BKS-JKT,DRV-014,1440,1561,Vehicle maintenance,True,2026-06-12T23:00:00Z
evt-10094,ORDER_STATUS_UPDATED,ORD-2026-0094,DELIVERED,Semarang Hub,SMG-SBY,DRV-015,2160,2318,Warehouse queue,True,2026-06-13T02:00:00Z
evt-10095,ORDER_STATUS_UPDATED,ORD-2026-0095,CANCELLED,Jakarta Hub,SBY-DPS,DRV-016,2880,3075,,True,2026-06-13T05:00:00Z
evt-10096,ORDER_STATUS_UPDATED,ORD-2026-0096,CREATED,Bandung Hub,JKT-BDG,DRV-017,720,952,Traffic congestion,True,2026-06-13T08:00:00Z
evt-10097,ORDER_STATUS_UPDATED,ORD-2026-0097,PICKED_UP,Surabaya Hub,JKT-SBY,DRV-018,1440,1709,Weather issue,True,2026-06-13T11:00:00Z
evt-10098,ORDER_STATUS_UPDATED,ORD-2026-0098,IN_TRANSIT,Bekasi DC,BDG-JKT,DRV-019,2160,2106,,False,2026-06-13T14:00:00Z
evt-10099,ORDER_STATUS_UPDATED,ORD-2026-0099,DELAYED,Semarang Hub,BKS-JKT,DRV-020,2880,2863,Warehouse queue,False,2026-06-13T17:00:00Z
evt-10100,ORDER_STATUS_UPDATED,ORD-2026-0100,DELIVERED,Jakarta Hub,SMG-SBY,DRV-001,720,740,,True,2026-06-13T20:00:00Z
evt-10101,ORDER_STATUS_UPDATED,ORD-2026-0101,CANCELLED,Bandung Hub,SBY-DPS,DRV-002,1440,1497,Traffic congestion,True,2026-06-13T23:00:00Z
evt-10102,ORDER_STATUS_UPDATED,ORD-2026-0102,CREATED,Surabaya Hub,JKT-BDG,DRV-003,2160,2254,Weather issue,True,2026-06-14T02:00:00Z
evt-10103,ORDER_STATUS_UPDATED,ORD-2026-0103,PICKED_UP,Bekasi DC,JKT-SBY,DRV-004,2880,3011,Vehicle maintenance,True,2026-06-14T05:00:00Z
evt-10104,ORDER_STATUS_UPDATED,ORD-2026-0104,IN_TRANSIT,Semarang Hub,BDG-JKT,DRV-005,720,888,Warehouse queue,True,2026-06-14T08:00:00Z
evt-10105,ORDER_STATUS_UPDATED,ORD-2026-0105,DELAYED,Jakarta Hub,BKS-JKT,DRV-006,1440,1645,,True,2026-06-14T11:00:00Z
evt-10106,ORDER_STATUS_UPDATED,ORD-2026-0106,DELIVERED,Bandung Hub,SMG-SBY,DRV-007,2160,2402,Traffic congestion,True,2026-06-14T14:00:00Z
evt-10107,ORDER_STATUS_UPDATED,ORD-2026-0107,CANCELLED,Surabaya Hub,SBY-DPS,DRV-008,2880,3159,Weather issue,True,2026-06-14T17:00:00Z
evt-10108,ORDER_STATUS_UPDATED,ORD-2026-0108,CREATED,Bekasi DC,JKT-BDG,DRV-009,720,676,,False,2026-06-14T20:00:00Z
evt-10109,ORDER_STATUS_UPDATED,ORD-2026-0109,PICKED_UP,Semarang Hub,JKT-SBY,DRV-010,1440,1433,,False,2026-06-14T23:00:00Z
evt-10110,ORDER_STATUS_UPDATED,ORD-2026-0110,IN_TRANSIT,Jakarta Hub,BDG-JKT,DRV-011,2160,2190,,True,2026-06-15T02:00:00Z
evt-10111,ORDER_STATUS_UPDATED,ORD-2026-0111,DELAYED,Bandung Hub,BKS-JKT,DRV-012,2880,2947,Traffic congestion,True,2026-06-15T05:00:00Z
evt-10112,ORDER_STATUS_UPDATED,ORD-2026-0112,DELIVERED,Surabaya Hub,SMG-SBY,DRV-013,720,824,Weather issue,True,2026-06-15T08:00:00Z
evt-10113,ORDER_STATUS_UPDATED,ORD-2026-0113,CANCELLED,Bekasi DC,SBY-DPS,DRV-014,1440,1581,Vehicle maintenance,True,2026-06-15T11:00:00Z
evt-10114,ORDER_STATUS_UPDATED,ORD-2026-0114,CREATED,Semarang Hub,JKT-BDG,DRV-015,2160,2338,Warehouse queue,True,2026-06-15T14:00:00Z
evt-10115,ORDER_STATUS_UPDATED,ORD-2026-0115,PICKED_UP,Jakarta Hub,JKT-SBY,DRV-016,2880,3095,,True,2026-06-15T17:00:00Z
evt-10116,ORDER_STATUS_UPDATED,ORD-2026-0116,IN_TRANSIT,Bandung Hub,BDG-JKT,DRV-017,720,972,Traffic congestion,True,2026-06-15T20:00:00Z
evt-10117,ORDER_STATUS_UPDATED,ORD-2026-0117,DELAYED,Surabaya Hub,BKS-JKT,DRV-018,1440,1369,Weather issue,False,2026-06-15T23:00:00Z
evt-10118,ORDER_STATUS_UPDATED,ORD-2026-0118,DELIVERED,Bekasi DC,SMG-SBY,DRV-019,2160,2126,,False,2026-06-16T02:00:00Z
evt-10119,ORDER_STATUS_UPDATED,ORD-2026-0119,CANCELLED,Semarang Hub,SBY-DPS,DRV-020,2880,2883,Warehouse queue,True,2026-06-16T05:00:00Z
evt-10120,ORDER_STATUS_UPDATED,ORD-2026-0120,CREATED,Jakarta Hub,JKT-BDG,DRV-001,720,760,,True,2026-06-16T08:00:00Z
